user,userid
PwyllDafydd,41502619.0
Rtnf,37746542.0
Jtwsaddress42,40272761.0
Hiplibrarianship,2012100.0
Neils51,16416757.0
TayoncéSupremacy,29879454.0
Dimbat572,41731067.0
Tpdwkouaa,26621756.0
Oddysee5,41907693.0
Mrgoggins90,16201630.0
IJBall,10152666.0
AKK-700,39515155.0
Pakoire,37837347.0
RandomCanadian,39218216.0
Gsfelipe94,19288992.0
Windrain,31711667.0
Liam.Hunt95,41907675.0
Baeleigh,21586036.0
Cléééston,22911531.0
Dethistoricaler,11912838.0
Kgagne,1844405.0
FloridaArmy,29750937.0
Hexcodes,40151277.0
BevantheMenace,38799172.0
Milkyway47,41356506.0
Michelle780,41640893.0
Sweep8LZx,41880228.0
Couchcupcross,41305583.0
Buidhe,16680171.0
Billsey55,38796595.0
Booaboo,41907682.0
162 etc.,41625025.0
Jello564,41907685.0
Reidgreg,27807439.0
NelsonLee20042020,39060988.0
MyFeetSmellLikeAss,41907108.0
Cmm98,40366530.0
Another Believer,5886041.0
Nousername46000,41267333.0
Ergo Sum,24884903.0
Ew3234,40073935.0
Chinsrus101,32831133.0
Quietbowl,39655378.0
Goyston,2953934.0
Aioun,30953238.0
Interestingthing,27720140.0
Randy Kryn,4796325.0
Agent11,32198343.0
Fagles,421024.0
Tubby23,10376455.0
TruthsndFacts,41901221.0
Unclemoo92,40677852.0
SweetBerry0926,40670072.0
Eiga-Kevin2,41255362.0
DCReppinPH,40258966.0
Titodutta,14365232.0
AirbusA220,38422426.0
29cwcst,15639425.0
Yota00,39954126.0
OneMMmember,40821205.0
Hurricane Noah,26773692.0
OwlWing,36244759.0
Bettydaisies,40327909.0
KIN101,33224231.0
MargaretRDonald,32627275.0
Herpetology2,23840511.0
LegoCityDude61892,36459209.0
GavinMcGimpsey,10015202.0
Orgulhodanacao,29609768.0
4meter4,11612968.0
Onel5969,10951369.0
Nisf,7426491.0
Joshua Jonathan,15304212.0
William Harris,20680713.0
Jweiss11,206485.0
Anonymous2488,27075917.0
Howicus,18109531.0
Lvhis,9415996.0
Aemg117,17373180.0
Tubesleveret15,41515900.0
SportsGuy789,31527943.0
Sakamotosanderson,18095866.0
Aciram,3048957.0
Ccirulli,794664.0
Kgrad,10242667.0
IAmACowWhoIsMad,23915885.0
28mywikiaccount28,41425345.0
George Ho,595371.0
Marnanel,38775.0
Scorpions13256,12360419.0
Ladydayelle,235235.0
Explicit,4842600.0
TheAuthoriser,41894729.0
Larrykoen,485110.0
Kevinz sanity,41907655.0
ReVeluv02,38194769.0
TrimmerinWiki,32656409.0
Indy beetle,27326122.0
User-duck,28568042.0
Maptrainguy,33013993.0
The Pastrami-Eating Bulldog,20211031.0
Mayao.hk,39142633.0
TheDeviantPro,13023844.0
VelroyFernandez,33426718.0
Unknown SW,41901986.0
Marcnut1996,18735057.0
Gderrin,12149463.0
Bpod,29355999.0
Willform,40692139.0
Clog Wolf,33519983.0
GibbNotGibbs,35521818.0
Voicebox64,24449931.0
TheRedDomitor,26284328.0
Tom Danson,1788837.0
Missvain,1473712.0
G-13114,13017487.0
XanderL,1548358.0
Albertaont,39780446.0
Kyleflorence24,36595508.0
MrSoftee,38929805.0
Kingjeff,309296.0
Socalphoto,10901655.0
HurricaneParrot,40716171.0
Ladycamera,25275287.0
Extraordinary Writ,39795743.0
Lazman321,39066525.0
Tinton5,9806113.0
MarginalCost,13423146.0
Asukite,13889901.0
Hanjifairies,41678330.0
Davidbena,19576814.0
02rufus02,33582819.0
Giantflightlessbirds,10351946.0
Liliana Cutrere,39563515.0
Ron Clausen,30162703.0
Loltardo,41490921.0
Indopug,6060594.0
JaMongKut,40878981.0
And1987,3241634.0
Dararasmi,33434878.0
54nd60x,40832487.0
Novem Linguae,8855946.0
MADdutta,41837054.0
SigKauffman,7165478.0
Xaqaii,40923362.0
Mauro Maneiro,26826377.0
Awarriorscholar,40077618.0
MoonJuneOpportune,25962133.0
Hack,283225.0
Bangabandhu,8642534.0
CountGrasshopper,25669235.0
DMacks,712163.0
Mztourist,11292517.0
SonOfBabylon1,41748992.0
CaroleHenson,13936758.0
Wotinw,41907649.0
Avelludo,27595460.0
Clarkkent1234,41357123.0
KyloRen3,40134485.0
Aiz19,41907632.0
Ann0yedCarven,41907644.0
Arbor to SJ,4322169.0
RAJIVVASUDEV,17423420.0
Maciej Mucharski,36678116.0
Matthew Sumpter,39575962.0
Denniscabrams,24382878.0
Staticshakedown,6179713.0
Ambrosia10,21539739.0
Krishnaloveanish,41531438.0
BradfordNewton,29393730.0
Ewa5050,12410954.0
Ryguy611,11797144.0
Intoxicatedmidnight,31438905.0
Texasfletcher,41907274.0
Airbornemihir,2138517.0
Jjj84206,13622137.0
ChesterFluffball,41325631.0
Salvador Calyso,16298515.0
RightQuark,40124962.0
Dcb000,41907626.0
Blackgaia02,2664833.0
GoneIn60,10068510.0
Stephan Leeds,140154.0
2 cor 6 8,41878535.0
Amedberry,41907618.0
Hockeyal,6509758.0
Cjulia6294,41907376.0
Blizzythesnowman,40978890.0
Rmharrison,29447437.0
Eurodog,848978.0
RoanokeVirginia,41246726.0
